impression_id,user_id,item_id,session_id,timestamp,position,device,country,clicked
imp_0000000000,u_0000615,i_000497,s_u_0000615_20250901_21,2025-09-01T21:00:11,0,desktop,DE,0
imp_0000000001,u_0000615,i_000093,s_u_0000615_20250901_21,2025-09-01T21:03:40,1,tablet,DE,0
imp_0000000002,u_0000615,i_000374,s_u_0000615_20250901_21,2025-09-01T21:06:04,2,mobile,DE,0
imp_0000000003,u_0000615,i_000303,s_u_0000615_20250901_21,2025-09-01T21:08:00,3,desktop,DE,0
imp_0000000004,u_0000615,i_000320,s_u_0000615_20250901_21,2025-09-01T21:10:24,4,mobile,DE,0
imp_0000000005,u_0000615,i_000127,s_u_0000615_20250901_21,2025-09-01T21:11:41,5,mobile,DE,0
imp_0000000006,u_0000615,i_000045,s_u_0000615_20250901_21,2025-09-01T21:12:22,6,mobile,DE,0
imp_0000000007,u_0000615,i_000267,s_u_0000615_20250901_21,2025-09-01T21:14:48,7,desktop,DE,0
imp_0000000008,u_0000615,i_000305,s_u_0000615_20250901_21,2025-09-01T21:17:48,8,mobile,DE,0
imp_0000000009,u_0001870,i_000043,s_u_0001870_20250901_9,2025-09-01T09:01:57,0,mobile,CA,0
imp_0000000010,u_0001870,i_000409,s_u_0001870_20250901_9,2025-09-01T09:03:46,1,mobile,CA,0
imp_0000000011,u_0001870,i_000302,s_u_0001870_20250901_9,2025-09-01T09:05:02,2,desktop,CA,0
imp_0000000012,u_0001870,i_000089,s_u_0001870_20250901_9,2025-09-01T09:06:54,3,tablet,CA,0
imp_0000000013,u_0001870,i_000188,s_u_0001870_20250901_9,2025-09-01T09:10:49,4,desktop,CA,0
imp_0000000014,u_0001870,i_000040,s_u_0001870_20250901_9,2025-09-01T09:12:36,5,mobile,CA,0
imp_0000000015,u_0001870,i_000379,s_u_0001870_20250901_9,2025-09-01T09:13:41,6,mobile,CA,0
imp_0000000016,u_0001870,i_000367,s_u_0001870_20250901_9,2025-09-01T09:15:01,7,mobile,CA,0
imp_0000000017,u_0001870,i_000241,s_u_0001870_20250901_9,2025-09-01T09:17:39,8,mobile,CA,0
